nbd_ID|nbd|ID|location|category|comment|neighborhood|project_id
SLH16|SLH|16|Harris Ave @ Broadway|safety|Intersections is unsafe.|Silver Lake - Hartford|105
SLH17|SLH|17|Springfield St|Geometry, Narrow|Too narrow, a lot of school traffic, need a way for cars to move around the school.|Silver Lake - Hartford|107
SLH18|SLH|18|Hartford Ave @ Atwood St|Crossing|Need crosswalk from parking lot to post office building.|Silver Lake - Hartford|Other intersection
SLH19|SLH|19|Plainfield St|Lighting|Needs daylighting at crosswalks & intersections; people park too close.|Silver Lake - Hartford|80
SLH20|SLH|20|Pilsudski St|Green Infrastructure|Street needs more greenery.|Silver Lake - Hartford|78
SLH21|SLH|21|Magnolia St @ Pocasset Ave|Crossing|Needs crosswalk.|Silver Lake - Hartford|83
SLH22|SLH|22|Killingly St|Sidewalk|Sidewalks are challenging; at Jewell St property owner has blocked the sidewalk.|Silver Lake - Hartford|75
SLH23|SLH|23|Webster Ave|Transit Service|Needs bus service.|Silver Lake - Hartford|Other concern
SLH24|SLH|24|Olneyville St|Traffic operations|Restrict traffic through Olneyville St  local vs. through traffic.|Silver Lake - Hartford|Unknown location
SLH25|SLH|25|San Souci Dr @ Olneyville St|Traffic Patterns|San Souci should function as bypass for Olneyville St; needs left turn onto Manton Ave.|Silver Lake - Hartford|17
SLH26|SLH|26|Hartford Ave|Access|Need a new bridge across the river to Hartfort Ave.|Silver Lake - Hartford|New project
SLH27|SLH|27|Dike St|Traffic Patterns|Dike St should be partner street to San Souci Dr as one-way pair bypass.|Silver Lake - Hartford|111
SH1|SH|1|Smith St @ Ruggles St|Visibility, Speeding|Fear of auto crashes, bad visibility, use of Ruggles as cut-through, speeding|Smith Hill|23
SH2|SH|2|Whipple @ Douglas|Vehicle volumes|Whipple used as cut through|Smith Hill|Corridor
SH3|SH|3|Dean St Overpass|Pedestrian safety|High speed on ramp is a danger (for pedestrians)|Smith Hill|7
SH4|SH|4|Douglas Ave @ Chad Brown St|Geometry, Green infrastructure|Douglas Ave too wide @ cemetery; speeding; not enough trees|Smith Hill|Corridor
SH5|SH|5|Camden Ave|Speeding, Maintenance|Cars [drive] too fast, going wrong way, broken sidewalks.|Smith Hill|Corridor
SH6|SH|6|Douglas Ave @ Wayne St|Geometry, speeding|Wide street, [vehicles drive] too fast.|Smith Hill|Corridor
SH7|SH|7|Orms St @ Jefferson St|Pedestrian Crossing|No cars stop at this crosswalk|Smith Hill|Other intersection
SH8|SH|8|Smith St @ State St|Sidewalk maintenance|Piece of sidewalk missing on state|Smith Hill|38
SH9|SH|9|N Main St @ Thomas St|Lighting, Pedestrian Safety|Needs better lighting for pedestrian safety; cars, while turning, cant see peds in crosswalk.  |Smith Hill|Other intersection
SH10|SH|10|Hewes St|Lighting|Lights need to be repaired, (cobra heads), also flickering on adjacent section of N Main.|Smith Hill|Corridor
SH11|SH|11|N Main St|Crossing|Unsafe ped crossing on North Main.|Smith Hill|Unknown location
SH12|SH|12|Smith St @ Chalkstone and Smith St @ Orms St|Developmental Opportunity|Commercial Development with green space to connect to parks across the street. Great moment to define the intersection of Smith St @ Chalkstone St and Smith St @ Orms St dialog.|Smith Hill|23
SP1|SP|1|Broad @ Adelaide|Crossings|Frequent gridlock make crossings unsafe|South Providence|6
SP2|SP|2|Broad @ Sumter|Parking, Enforcement|People park in bus stop in front of Night Club, people forced to alight into the middle of the street|South Providence|6
SP3|SP|3|Eddy @ Thurbers|Traffic Ops|Congestion, people driving run red lights|South Providence|94
SP4|SP|4|Elmwood @ Moore|Crossings|Light needed at Knight Library crossing|South Providence|47
SP5|SP|5|Broad @ Sackett|Cut Throughs|Cut through traffic and non-residential traffic to get to Mi Sueno|South Providence|6
SP6|SP|6|Elmwood @ Lenox|Traffic ops|Left turn from Elmwood onto Lenox is dangerous|South Providence|47
SP7|SP|7|Pine @ Somerset|Sidewalks|Sidewalks are narrow and uneven, people walk in the street|South Providence|5
SP8|SP|8|Atwells @ Bradford|Traffic Ops, Pedestrian Safety|Excessive traffic and traffic lights, no room for bikes, people driving cant see pedestrians|South Providence|Other intersection
SP9|SP|9|Elmwood @ Earl|Parking, Enforcement|People double park where Elmwood and Reservoir converge|South Providence|47
SP10|SP|10|Elmwood @ Princeton|Parking, Enforcement|People park in bus stop|South Providence|47
SP11|SP|11|Elmwood @ Daboll||People blow out tires on curbstone|South Providence|47
SP12|SP|12|Broad @ Miller|Access Mgmt|Exiting parking lot across from the park is difficult|South Providence|6
SP13|SP|13|Elmwood @ Parkis|Speeding, Behavior|Jaywalking, pedestrians under the influence, cars speed down turn lane|South Providence|47
SP14|SP|14|Broad @ Public|Signals|Concern that pedestrian signalization is not coordinated properly with traffic signals|South Providence|6
SP15|SP|15|Trinity Square|Geometry, Traffic ops|The square is too congested and there are too many options. People take illegal lefts. The island is not helpful.|South Providence|47
SP16|SP|16|Francis @ Finance Way|Crossings, Traffic ops|Dangerous crossing, cars and buses tun right on red|South Providence|142
SP17|SP|17|Broad @ W. Franklin|Crossings, Maintenance|Crossings of 95 are unsafe with too many left turning movements. Not shoveled well.|South Providence|Other intersection
SP18|SP|18|Point east of Eddy|Maintenance|Bridge is not walkable due to snow clearance|South Providence|Corridor
SP19|SP|19|Peace @ Updike|Base Map|Why isnt this community garden on this map?|South Providence|0
SP28|SP|28|Trinity Square|Transit, Traffic Ops|Bus lane Is used as a driving lane when cars are backed up on Broad|South Providence|47
WSE1|WSE|1|Byfield St between Board St and Eddy St|Connection, Green Infrastructure |Nothing very appealing about it. Feels Isolated. Deeper sidewalks for trees. |Washington Park - South Elmwood|Corridor
WSE2|WSE|2|Calla St between Cactus St and Broad St|Geometry|Cut through street since it connects to park.|Washington Park - South Elmwood|0
WSE3|WSE|3|Roger Williams Park|Speeding, Geometry|Speed limit does not equal design speed. Streets too wide.|Washington Park - South Elmwood|Area
WSE4|WSE|4|Broad St @ Bailey Blvd|Speeding|Speeds too high despite Chevron Area  people use it to pass.|Washington Park - South Elmwood|93
WSE5|WSE|5|Allens Ave @ Chapman St|Speeding, Safety, Lighting, Cleanliness, Maintenance|Too fast  too wide. People dont obey 35mph speed limit, which is also too high. High traffic volumes. Lots of trucks. Poor lighting. Not safe at night. Dirty.|Washington Park - South Elmwood|96
WSE6|WSE|6|Cladrashs Ave in Roger Williams Park|Speeding|One way makes the loop fast speed. Not a lot of traffic, but fast traffic.|Washington Park - South Elmwood|Corridor
WSE7|WSE|7|Broad Street|Maintenance|Snow removal along all bus stops.|Washington Park - South Elmwood|6
WSE8|WSE|8|Allens Ave|Environmental quality|Asthma (interpreted as) is of concern here. Environmental quality is bad. Need a mask to bike.|Washington Park - South Elmwood|0
WSE9|WSE|9|Allens Ave between Ernest St and Thurbers Ave|Green Infrastructure|No trees along this section of Allens.|Washington Park - South Elmwood|96
WSE10|WSE|10|Massachusetts Ave between Allens Ave and Board St|Speeding, Maintenance|Speeding in the neighborhood between Allens + Eddy (Broad). Needs better trash + recycling + central sweeping maintenance. This area is becoming transient (noticeable increase in the number of students from Johnson & Wales University)|Washington Park - South Elmwood|Area
WSE11|WSE|11|Vermont Ave between Eddy St and Broad St|Geometry, Street design|More space for kids needed|Washington Park - South Elmwood|Area
WSE25|WSE|25|Elmwood Ave (US 1) @ Huntington Expy (SR 10) |Street design, Maintenance, Cleanliness|Highway ramps make it feel uncomfortable for pedestrian. Bird droppings in underpass area, (need to protect peds). Poor lighting.|Washington Park - South Elmwood|47
WSE26|WSE|26|Allens Ave between Ernest St and Thurbers Ave|Cleanliness|Scrap metal  creates discomfort|Washington Park - South Elmwood|0
WSE5b|WSE|5b|Allens Ave @ Chapman St|Parking, Safety|People park in the bike lane. Scrap metal facility trucks park all along the street. Not safe for bikes.|Washington Park - South Elmwood|96
WER1|WER|1|Battery @ Carpenter & Fountain St|Cleanliness|4 way stops, trash, bombed out lot, really tragic.|West End - Elmwood - Reservoir|Corridor
WER2|WER|2|Car Mech @ Fountain & Winter|Parking|Interpreted as [Drivers park] on sidewalk.|West End - Elmwood - Reservoir|62
WER3|WER|3|Washington Bridge over I95|Crossing|Crosses too many large highway type roads.|West End - Elmwood - Reservoir|Corridor
WER4|WER|4|Bridge||All the City Walk concerns  no redeemable attributes that the neighborhood on either side.|West End - Elmwood - Reservoir|Unknown location
WER5|WER|5|Point St @ highway ramps|Speeding, comfort|Very dangerous for pedestrians and panhandlers. Very high speeds. How can this whole area serve: the people who live there? The area puts you on the edge because its so uncomfortable to be.|West End - Elmwood - Reservoir|Other intersection
WER6|WER|6|Allens Ave|Cleanliness|Toxicity, mountains of metal, polluting more impoverish, neighborhood, spa threatens to spread even further.|West End - Elmwood - Reservoir|0
WER7|WER|7|Collier Point Park|Planning|What is happening with the Collins Point Park? Such promise, but forgotten backwater.|West End - Elmwood - Reservoir|86
WER8|WER|8|Peace St @ Broad St|Green infrastructure, economy|St Joes redevelopment needs to be an economic generator/driver for neighborhood. Need more green space, community garden demand.|West End - Elmwood - Reservoir|6
WER9|WER|9|Knight Library||Knight Library needs funding so hours can increase.|West End - Elmwood - Reservoir|0
WER10|WER|10|Mashapaug Pond|cleanliness|Toxicity! Clean it up!|West End - Elmwood - Reservoir|0
WER11|WER|11|Conduit St @ Summer St|Cleanliness, aesthetic|Vacant lot, chain linked fence, trash, nearby business impacted, overgrown, parking, ugly.|West End - Elmwood - Reservoir|0
WER12|WER|12|Elmwood Ave heading into Cranston|Aesthetic|Chain linked fence @ auto body shop, barrier, not aesthetic, not welcoming.|West End - Elmwood - Reservoir|0
WER13|WER|13|Whitman St @ Updike St|Maintenance|Chain linked fence, have tried to get it removed, but concerned that removal will trigger unintentional review by City Commission.|West End - Elmwood - Reservoir|0
WER14|WER|14|Elmwood Ave @ Greenwich St|Parking, community garden|Vacant lot owned by the city could be a community garden or place used for parking right now, pretty good sight.|West End - Elmwood - Reservoir|Other intersection
WER15|WER|15|Whitman St @ Updike St|Potholes|Potholes.|West End - Elmwood - Reservoir|Other intersection
WER16|WER|16|Ward??|Community|Make it challenging to work collaboratively, cohesively and it keeps our neighborhood apart.|West End - Elmwood - Reservoir|0
WER17|WER|17|Thurbers Ave @ Broad St|Crossing, Safety|Skewed intersection makes it unsafe for pedestrian crossing|West End - Elmwood - Reservoir|6
WER18|WER|18|Lenox Ave @ Elmwood Ave|Geometry, Safety|South bound left from Elmwood onto Lenox is unsafe! Homeless food bank on corner + the nearby bus stop is a high activity stop. Unsafe from all directions. Underutilized/old structure that could be put to better use.|West End - Elmwood - Reservoir|47
WER20|WER|20|Atlantic Ave @ Reservoir Ave|Congestion|Traffic intensifies with usability of the park.|West End - Elmwood - Reservoir|91
WER21|WER|21|Elmwood Ave @ Princeton Ave|Maintenance|Signs are missing but sign post remain (From Roger William Park all the way up Elmwood).|West End - Elmwood - Reservoir|47
WER22|WER|22|Russell St @ Elmwood Ave||Signs in the median are unsightly. Same broken, RIDOT slow to repair. Would love to see trees in the median. 311 calls should be funneled to direct entity.|West End - Elmwood - Reservoir|47
WER23|WER|23|Elmwood Ave @ Gallatin St||Bump-out @ senior center took parking from businesses across the street. |West End - Elmwood - Reservoir|47
WER24|WER|24|Melrose St|Bicycle Infrastructure|Melrose is a good alternative for bike route than Elmwood  dont to take parking from business.|West End - Elmwood - Reservoir|Corridor
WER26|WER|26|Elmwood Ave @ Exit 17|Aesthetic|Viaduct makes it dark, filled with trash constantly, high traffic, would love to see bridge painted to welcome people to the zoo, Welcome to Elmwood|West End - Elmwood - Reservoir|47
WER27|WER|27|Melrose St @ Cadilac Dr|Connection|Existing tunnel should be reopened to make direct connection from the neighborhood to the park. Connect to bike route on Melrose (R24)|West End - Elmwood - Reservoir|New project
WER29|WER|29|Cadilac Dr @ Elmwood Ave|Safety|High crash location.|West End - Elmwood - Reservoir|47
WER30|WER|30|Ontario St @ Elmwood Ave|Green space|A lot of cement and no trees near Walgreens. Needs to be greener.|West End - Elmwood - Reservoir|0
WER31|WER|31|Trinity Square|Congestion.|Too busy and confusing.|West End - Elmwood - Reservoir|47
WER32|WER|32|Trinity Square|Wayfinding|Signage directs people to Broad St, accurately, but signage to Elmwood from Downtown points to the wrong street.|West End - Elmwood - Reservoir|6
WER33|WER|33|Broad St @ Fricker St|Maintenance|Shoveling needed. Wheel chairs and walkers use the street to travel near the burger king.|West End - Elmwood - Reservoir|Other intersection
WER34|WER|34|Elmwood Ave @ Burnett St|Snow removal|Auto dealer doesnt clear snow at entrance. Snow removal esp on main street.|West End - Elmwood - Reservoir|47
WER35|WER|35|Cranston St @ Wadsworth St (Also neighborhood wide)|Illegal Activity, Cleanliness|Drugs, prostitution, trash, police dont pay attention to these issues. It feels very unsafe to just travel outside the house. Shelter in the area feels like it contributes to the problem. If it could move, I would think it might take some of the problems with it.|West End - Elmwood - Reservoir|0
WER36|WER|36|Cranston St @ Westminster St|Emergency Access|Traffic island (with three) better than current big concrete median. Restricts emergency vehicles access. Intersections aligned confusingly for EB Westminster traffic.|West End - Elmwood - Reservoir|51
